drug,brand_name,fda_indication_pediatric,adult_fda_approval_indication_specific,adult_hc_approval,pediatric_fda_approval,pediatric_hc_approval,pediatric_hc_submission,pediatric_cadth_submission,pediatric_cadth_recommendation,pediatric_pcpa_consideration,pediatric_pcpa_negotiation_completed,pediatric_hc_status,hc_pediatric_reason,pediatric_cadth_status,pediatric_pcpa_status,pediatric_cco_listing,pediatric_cco_program,noc_status
Ipilimumab,Yervoy,Unresectable or metastatic melanoma,2011-03-25,2012-02-01,2017-07-21,,,2011-12-01,2012-04-18,,,not approved,not indicated,not reviewed,not reviewed,No,,
Larotrectinib,Vitrakvi,Solid tumors with NTRK gene fusion,2018-11-26,2019-07-10,2018-11-26,2019-07-10,2018-09-18,2020-11-16,2021-09-13,2022-03-31,2022-11-07,approved,indicated,restricted positive,LOI,Yes,Exceptional Access Program,NOC/c
Mercaptopurine oral solution,Purixan,Acute lymphoblastic leukemia (ALL),2014-04-28,,2014-04-28,,,,,,,not approved,not found,not reviewed,not reviewed,No,,
Naxitamab,Danyelza,Relapsed or refractory osteomedullary high-risk neuroblastoma,2020-11-25,,2020-11-25,,,,,,,not approved,not found,not reviewed,not reviewed,No,,
Nelarabine,"Arranon, Atriance",Relapsed or refractory T-cell acute lymphoblastic leukemia (T-ALL) or T-cell lymphoblastic lymphoma (T-LBL),2005-10-28,2007-09-22,2005-10-28,2007-09-22,2005-09-28,2023-03-06,,,,approved,indicated,under review,not reviewed,No,,NOC/c
Nilotinib,Tasigna,Newly diagnosed or resistant Ph+ chronic myeloid leukemia in chronic phase (Ph+ CML-CP),2007-10-29,2010-07-22,2018-03-22,2018-10-16,,,,,,approved,indicated,not reviewed,not reviewed,No,,NOC
Nilotinib,Tasigna,Resistant Ph+ CML-AP,2007-10-29,2008-09-09,2021-09-23,,,,,,,not approved,not indicated for specific fda indication,not reviewed,not reviewed,No,,
Nivolumab,Opdivo,MSI-H or dMMR metastatic colorectal cancer,2017-07-31,,2017-07-31,,,,,,,not approved,not indicated,not reviewed,not reviewed,No,,
Nivolumab,Opdivo,Unresectable or metastatic melanoma as a single agent or in combination with ipilimumab and melanoma with lymph node involvement or metastatic disease following complete resection,2014-12-22,2015-09-25,2023-02-15,,,,,,,not approved,not indicated,not reviewed,not reviewed,No,,
Nivolumab+ipilimumab,Opdivo+Yervoy,MSI-H or dMMR metastatic colorectal cancer,2018-07-10,2021-02-11,2018-07-10,,,,,,,not approved,not indicated,not reviewed,not reviewed,No,,
Nivolumab+ipilimumab,Opdivo+Yervoy,Unresectable or metastatic melanoma,2015-09-30,2016-10-26,2023-02-15,,,,,,,not approved,not indicated,not reviewed,not reviewed,No,,
Nivolumab+relatlimab-rmbw,Opdualag,Unresectable or metastatic melanoma,2022-03-18,,2022-03-18,,,2023-07-10,,,,under review,under review,under review,not reviewed,No,,
Pegaspargase,Oncaspar,Acute lymphoblastic leukemia (ALL),1994-02-01,1997-11-19,2006-07-24,1997-11-19,,,,,,approved,indicated,not reviewed,not reviewed,Yes,New Drug Funding Program,NOC
Pembrolizumab,Keytruda,Relapsed or refractory classic Hodgkin Lymphoma,2017-03-14,2017-09-08,2017-03-14,2021-02-05,2020-05-15,2021-01-29,2021-11-01,2021-11-18,2021-11-18,approved,indicated,restricted positive,LOI,Yes,New Drug Funding Program,NOC/c
Pembrolizumab,Keytruda,"Unresectable or metastatic, microsatellite instability-high (MSI-H) or mismatch repair deficient (dMMR) solid tumors",2017-05-23,2019-04-18,2017-05-23,,2018-07-31,,,,,not approved,not indicated for specific fda indication,not reviewed,not reviewed,No,,
Pembrolizumab,Keytruda,Adult and pediatric patients with refractory primary mediastinal large B-cell lymphoma,2018-06-13,2018-09-21,2018-06-13,2018-09-21,2018-01-02,,,,,approved,indicated,not reviewed,not reviewed,No,,NOC/c
Pembrolizumab,Keytruda,Recurrent locally advanced or metastatic Merkel cell carcinoma,2018-12-19,,2018-12-19,,,,,,,not approved,not indicated for specific fda indication,not reviewed,not reviewed,No,,
Pembrolizumab,Keytruda,Unresectable or metastatic tumor mutational burden-high (TMB H) [?10 mutations/megabase (mut/Mb)] solid tumors,2020-06-16,,2020-06-16,,,,,,,not approved,not indicated for specific fda indication,not reviewed,not reviewed,No,,
Pembrolizumab,Keytruda,"Stage IIB, IIC, or III melanoma",2021-12-03,2022-07-05,2021-12-03,2022-07-05,2021-12-17,2022-04-26,2022-11-04,2023-03-08,2023-03-08,approved,indicated,restricted positive,LOI,Yes,New Drug Funding Program,NOC
Pralsetinib,Gavreto,Advanced or metastatic RET-mutant medullary thyroid cancer (MTC) or RET-fusion positive thyroid cancer,2020-12-01,,2020-12-01,,,,,,,not approved,not indicated,not reviewed,not reviewed,No,,
Rituximab,Rituxan,"Previously untreated, advanced stage, CD20-positive diffuse large B-cell lymphoma (DLBCL), Burkitt lymphoma (BL), Burkitt-like lymphoma (BLL) or mature B-cell acute leukemia (B-AL)",2006-02-10,2005-12-20,2021-12-02,,,,,,,not approved,not indicated,not reviewed,not reviewed,Yes,New Drug Funding Program,
Selpercatinib,Retevmo,Advanced or metastatic RET-mutant medullary thyroid cancer (MTC) or advanced or metastatic RET fusion-positive thyroid cancer,2020-05-08,2021-06-15,2020-05-08,2021-06-15,2020-09-10,2021-10-29,2022-09-26,2022-11-17,2023-03-31,approved,indicated,restricted positive,LOI,No,,NOC/c
Selumetinib,Koselugo,"Symptomatic, inoperable plexifirm neurofibromas (PN) in patients with neurofibromatosis type 1 (NF1)",,,2020-04-10,2022-08-31,2020-09-09,2022-10-28,2023-05-10,,,approved,indicated,restricted positive,negotiations ongoing,No,,NOC
Tagraxofusp-erzs,Elzonris,Blastic plasmacytoid dendritic cell neoplasm (BPDCN),2018-12-21,,2018-12-21,,,,,,,not approved,not found,not reviewed,not reviewed,No,,
Tazemetostat,Tazverik,Metastatic or advanced epithelioid sarcoma,2020-01-23,,2020-01-23,,,,,,,not approved,not found,not reviewed,not reviewed,No,,
Teniposide,Vumon,Refractory childhood acute lymphoblastic leukemia (ALL),,2004-10-28,2002-10-01,,,,,,,not approved,not indicated,not reviewed,not reviewed,No,,
Tisagenlecleucel,Kymriah,Relapsed or refractory B-cell precursor acute lymphoblastic leukemia (ALL),2017-08-30,2018-09-05,2017-08-30,2018-09-05,2018-02-09,,2019-01-15,,,approved,indicated,restricted positive,not reviewed,Yes,(CAR) T-cell Therapy Program,NOC
